,gain
Bwd Packet Length Min,909.8946533203125
Bwd Packets/s,750.8455810546875
Fwd Seg Size Min,651.6038818359375
RST Flag Count,609.8872680664062
Idle Max,564.6639404296875
Fwd Act Data Packets,558.179443359375
Bwd Packets Length Total,535.4008178710938
Subflow Bwd Packets,501.7494812011719
Subflow Bwd Bytes,435.4317321777344
Active Std,379.05828857421875
Packet Length Min,339.283447265625
Fwd Packet Length Max,294.441162109375
Fwd Header Length,256.93096923828125
Fwd Packet Length Std,246.57667541503906
Total Backward Packets,210.02328491210938
PSH Flag Count,193.37452697753906
Bwd Packet Length Std,144.80226135253906
Fwd Packet Length Mean,136.16580200195312
Fwd Packets Length Total,126.2589111328125
URG Flag Count,112.47621154785156
Init Bwd Win Bytes,108.48329162597656
Protocol,103.19013977050781
Bwd Packet Length Max,88.843505859375
Subflow Fwd Bytes,87.94100189208984
Fwd Packet Length Min,86.25746154785156
Avg Fwd Segment Size,81.30064392089844
Packet Length Std,79.35610961914062
Avg Packet Size,67.5801010131836
SYN Flag Count,63.11979675292969
Flow Bytes/s,61.63143539428711
Init Fwd Win Bytes,60.416439056396484
Packet Length Mean,55.93760681152344
Packet Length Variance,42.8347053527832
Fwd PSH Flags,37.89149475097656
Fwd IAT Max,37.782352447509766
Avg Bwd Segment Size,37.70435333251953
Flow IAT Max,35.27512741088867
Down/Up Ratio,31.816904067993164
FIN Flag Count,27.617542266845703
Fwd IAT Min,27.017568588256836
Bwd Header Length,25.10467529296875
Total Fwd Packets,23.795135498046875
Packet Length Max,18.45330810546875
Bwd Packet Length Mean,16.079322814941406
Flow IAT Mean,15.009735107421875
Bwd IAT Mean,13.239445686340332
Bwd IAT Min,13.04653549194336
Flow Duration,12.426188468933105
Fwd IAT Mean,12.186392784118652
Flow IAT Min,12.162924766540527
ACK Flag Count,12.018601417541504
Idle Mean,10.79561710357666
Subflow Fwd Packets,9.425466537475586
Fwd IAT Total,9.406974792480469
Flow Packets/s,8.306923866271973
Fwd Packets/s,8.275189399719238
Fwd IAT Std,8.041068077087402
Bwd IAT Std,3.7549500465393066
Active Mean,3.2014596462249756
Flow IAT Std,2.924376964569092
Idle Std,2.5485684871673584
Bwd IAT Total,2.2596611976623535
Active Max,1.776640772819519
Active Min,1.7730027437210083
Bwd IAT Max,1.361631989479065
Idle Min,1.1757761240005493
